#	Game	Release date	Price	Score rank(Userscore / Metascore)	Owners
62	Construction Simulator 2 US - Pocket Edition	Sep 12, 2018	$11.99	22% (63%)	0 .. 20,000
63	Pathfinder: Kingmaker	Sep 25, 2018	$39.99	27% (67%/71%)	100,000 .. 200,000
64	Liftoff: FPV Drone Racing	Sep 13, 2018	$19.99	65% (86%)	20,000 .. 50,000
65	Distance	Sep 18, 2018	$24.99	87% (93%)	100,000 .. 200,000
66	Eternal Fantasy	Oct 18, 2018	$5.99	N/A (N/A)	0 .. 20,000
67	Star Control: Origins	Sep 20, 2018	$39.99	30% (69%)	20,000 .. 50,000
68	????? ~ Touhou Big Big Battle	Sep 10, 2018	$5.99	35% (72%)	50,000 .. 100,000
69	World War 3	Oct 19, 2018	$28	15% (57%)	100,000 .. 200,000
70	Infliction	Oct 18, 2018	$17.99	62% (85%)	0 .. 20,000
71	Atomic Society	Oct 15, 2018	$14.99	65% (86%)	0 .. 20,000
72	The Hex	Oct 16, 2018	$9.99	95% (96%)	0 .. 20,000
73	Terraforming Mars	Oct 17, 2018	$24.99	16% (58%)	0 .. 20,000
74	God's Basement	Oct 16, 2018	$13.49	48% (79%)	0 .. 20,000
75	Space Hulk: Tactics	Oct 9, 2018	$39.99	23% (64%/73%)	0 .. 20,000
76	Executive Assault 2	Oct 18, 2018	$24.99	70% (88%)	0 .. 20,000
77	A Gummy's Life	Oct 2, 2018	$14.99	55% (82%)	0 .. 20,000
78	Second Second	Oct 15, 2018	$15.99	N/A (N/A)	0 .. 20,000
79	Evasion	Oct 8, 2018	$39.99	N/A (N/A)	0 .. 20,000
80	Achtung! Cthulhu Tactics	Oct 4, 2018	$24.99	N/A (N/A)	0 .. 20,000
81	SpaceBourne	Oct 5, 2018	$14.99	44% (77%)	0 .. 20,000
82	Wandersong	Sep 27, 2018	$19.99	97% (97%/78%)	0 .. 20,000
83	To Leave	Oct 4, 2018	$9.99	N/A (N/A)	0 .. 20,000
84	RESONANCE OF FATE/END OF ETERNITY 4K/HD EDITION	Oct 17, 2018	$31.49	53% (81%)	0 .. 20,000
85	Vox Machinae	Sep 26, 2018	$24.99	93% (95%)	0 .. 20,000
86	Species: Artificial Life, Real Evolution	Sep 28, 2018	$19.99	60% (84%)	0 .. 20,000
87	Deep Sky Derelicts	Sep 26, 2018	$19.99	42% (76%/74%)	0 .. 20,000
88	Timespinner	Sep 25, 2018	$19.99	55% (82%/72%)	0 .. 20,000
89	Alien Hostage	Oct 1, 2018	$2.99	N/A (N/A)	20,000 .. 50,000
90	INSOMNIA: The Ark	Sep 27, 2018	$29.99	19% (60%)	20,000 .. 50,000
91	My Brother Rabbit	Sep 21, 2018	$11.99	93% (95%)	0 .. 20,000
92	Dakar 18	Sep 25, 2018	$49.99	17% (59%/60%)	0 .. 20,000
93	Wormster Dash	Oct 1, 2018	$1.99	N/A (N/A)	0 .. 20,000
94	BattleRush 2	Oct 18, 2018	$4.49	37% (73%)	20,000 .. 50,000
95	Zero Killed	Oct 5, 2018	$14.99	N/A (N/A)	0 .. 20,000
96	Zeal	Sep 24, 2018	Free	32% (70%)	100,000 .. 200,000
97	Depth of Extinction	Sep 27, 2018	$19.99	22% (63%)	0 .. 20,000
98	Underhero	Sep 19, 2018	$14.99	90% (94%)	0 .. 20,000
99	Taphouse VR	Sep 27, 2018	Free	97% (97%)	0 .. 20,000
100	Hentai Legends	Oct 19, 2018	$1.19	N/A (N/A)	0 .. 20,000
